Review_Index,Restaurant,Reviewer,Teencode_Found,Original_Comment
5819,Genji Shokudo,Trinh PhanNgocThuy,mangetsu,"đồ ăn ngon giá rẻ , chủ rất dễ thương luôn , mọi người nên đến thử nha , ai thích nơi ko xô bồ như mangetsu or izakaya10 thì nên đến đây nha , ko làm mọi người thất vọng đâu , không gian cực kì tuyệt vời"
5823,Genji Shokudo,Duc Robinson,rãi,"đồ ăn chất lượng khá, góp ý là bạch tuộc wasabi còn hơi tanh, quán hết hàu dù khá vắng khách, phục vụ nhiệt tình, không gian rộng rãi nhiều bàn"
5824,Genji Shokudo,Minh Tâm Nguyễn Thị,dth,"quán rất dễ thương, giá cả hợp lý, đồ ăn chất lượng đồng đều thả_tim thả_tim phục vụ siêu dth"
5825,Genji Shokudo,Vũ Trương,việt,sợi mì dai ngon vị vừa phải phù hợp người việt không bị quá mặn
5826,Genji Shokudo,Nguyen Dang,tatate,"quán ăn quá ngon luôn, không gian đúng chất của các quán nhậu nhật, thích món salmon tatate ghê"
5830,Genji Shokudo,Minh Anh Võ,"soba, tonkotsu, umami, nhàng","không gian đèn vàng ấm cúng, list nhạc nhẹ nhàng, hợp cả đi một mình và đi nhóm must try các loại xiên nướng, thịt mềm ngọt, mọng nước, sốt ướp đậm đà nhưng được nêm rất có chừng mực, không quá mặn cũng không quá nhạt, mình khẩu vị nhạt nên thích sốt teriyaki nước dùng mì có nhiều loại, mình ăn ramen tonkotsu thì nước dùng thiên về vị umami, soba bò có nước dùng trong hơn và hậu vị ngọt xương, sợi mì mềm dai, được cắt ở độ dài hợp lí để vừa miệng ăn"
5834,Genji Shokudo,Thục Anh,nhee,đồ ăn rất là ngon nhee
5849,Genji Shokudo,vinh nguyen,rãi,"đồ ăn ngon, không gian rộng rãi"
5859,Genji Shokudo,Lê Thị Quế Anh,"genji, yakitori, izakaya","chúng tôi thực sự rất thích bữa tối tại genji izakaya! sashimi tươi ngon và được trình bày đẹp mắt, salad với da cá giòn tan rất đặc sắc, và xiên yakitori được nướng hoàn hảo, không gian ấm cúng, đậm chất nhật bản và nhân viên cực kỳ thân thiện, một viên ngọc quý ẩn mình ở quận 1 – rất đáng để ghé thăm"
5861,GoGi House Bình Phú,Vĩnh Phú Trần,"dùm, ipad","nhân viên nam trực quầy lúc mình bước vô bấm điện thoại chả thèm ngước mặt lên dù mình có kêu anh ơi cho em bàn 2 người, kêu không được mình tức quá đi vô bàn ngồi ngồi 10 phút chả ai quan tâm, nhân viên đi qua đi lại cũng không thèm hỏi 1 câu cho đến khi mình lên tiếng em ơi cho order thì mới đếm xỉa đến mình, nhân viên nữ phục vụ thì cái mặt hất lên trời rất là trịch thượng không thèm nói chuyện với khách chỉ đưa ipad cho mình kêu order, đồ ăn thì có ngon đó nhưng mà thái độ phục vụ như vậy thì đề nghị quán coi lại dùm, không hiểu bạn nữ này có vấn đề gì với mình hay không mà từ lúc mình vô đến lúc mình ra chả thèm nói chuyện 1 tiếng và thay vỉ cũng tự lại thay với thái độ rất khó chịu, không giống như những chi nhánh khác là à em xin phép thay vỉ cho mình nhe với thái độ rất tươi cười, từ lúc bước vào cho đến lúc bước ra chả có 1 lời xin chào hay cảm ơn quý khách gì hết mình ăn vào lúc 20:35 ngày 13 tháng 11"
5862,GoGi House Bình Phú,Thai Leng,gogi,"nhân viên phục vụ không nhiệt tình, thái độ không tốt, mình mới nói món lên rất lâu nhưng bạn quay mặt đi không có nổi một câu xin lỗi hay thông cảm đặc biệt lên món rất chậm, món chân giò cuộn lên rất chậm và nó còn lạnh, lần đầu tiên ăn gogi chi nhánh này rất thất vọng, cực kỳ thất vọng"
5863,GoGi House Bình Phú,Trúc,"gogi, obathan","tần suất mình ăn gogi là tương đối, nhưng lần gần nhất này không nuốt nổi với thịt của gogi, mình ăn menu gọi món - đồng ý gọi ba chỉ thì phải có mỡ, nhưng nhìn thử coi cái ảnh của mình, cả đĩa toàn mỡ là mỡ, mỡ nhiều ngấy tới mức ăn ko nổi phải gói mang về nhà chế biến lại cho mèo ăn, menu thì cập nhật thay đổi, còn lèo tèo vài món, sốt obathan ko còn nữa, chỉ còn sốt mật ong, có độ ngọt nên nướng bắt lửa và rất dễ cháy, khét nếu trở tay ko kịp, chưa kể ăn ở đây 3 4 lần, thái độ phục vụ của nhân viên chưa khi nào mình đánh giá cao"
5864,GoGi House Bình Phú,Trần Tiến Thịnh,hải,"không quá đông đúc, không gian ấm cúng, đội ngũ nhân viên bận rộn nhưng nhiệt tình và vui vẻ, các bạn quản lý ca tối mình hay ăn rất tốt, - giá hiện tại có tăng chút nhưng hải sản (tôm, mực) đã cải thiện rất nhiều trong năm qua và năm nay hơn hẳn thời gian 2023 trở về trước, - các thức uống pha chế ngon, ly lớn, - các loại bò tuy tẩm ướp hơi ngọt, không bằng các quán bít tết nhưng chất lượng thịt tươi, thơm và quán lên món siêu tốc độ ^^ không sợ hết bò, mình nghĩ quán nên bổ sung thêm 1 vị ướp là chỉ muối + tiêu, - nói chung chỉ cần với mức buffet giá thấp là bạn đã dư sức thưởng thức và ăn thoải mái thỏa thích các loại bò nướng mà không lo quá cháy túi như khi đụng vào các quán steak ^^ và đó là điểm quan trọng nhất đối với mình"
5865,GoGi House Bình Phú,Hoàng Ý,rùi,"ko gian ok nha, nhân viên nhiệt tình, đồ ăn vẫn ngon, mình kêu món lẻ thôi chứ ko kêu buffet tại sức ăn yếu, đi đông thì kêu món lẻ rùi chia ra cũng rẻ"
5869,GoGi House Bình Phú,Trần Quỳnh,"gòi, panacota","quán khá đông, không gian quán ấm cúng, sạch sẽ menu đa dạng (lẩu nướng), gọi món hoặc ăn buffet (có mấy loại giá buffet) tuỳ chọn nhân viên nhiệt tình, dễ thương, nhanh nhẹn, chu đáo đồ ăn ổn, khá ngon, mỗi lần gọi món sẽ quét mã qr gọi món, miếng bò, mandu, bò, lầu kim chi, …, ngon ở đây có món tráng miệng panacota ngon, mình rất thích, bạn mình thì khá thích kem ở đây nước chấm có 2 loại cũng ổn, sốt chấm mình thấy ngon là sốt chấm ăn chung với mandu chiên hôm mình ăn củ cải chua nhiều quá khó tiêu, ăn chưa xong uống thuốc luôn cảm_động cảm_động khóc thét giá cả tạm ổn, mình đi tối trung bình tầm 300k-400k/người, mình đi hôm hết buffet 199k gòi, nói chung giá vậy lẩu với nướng cũng oke nè đã ăn nhiều lần, mọi người trải nghiệm thử nha"
5870,GoGi House Bình Phú,Yến nhi Lý,hok,đồ ăn ngon mà mình thấy nhân viên khá thái độ với khách bưng ra giống như dằn mặt khách vậy đó kêu thì hok nghe nếu có nghe dạ hok rồi hok có đeo lên phải kêu thêm 1 lần nữa giá đâu có rẻ mà nhân viên như vậy
5872,GoGi House Bình Phú,Trâm Ninh,khuyến,"mình đặt bàn lúc 18h30 nhưng đến lúc 18h44 thì có 1 bạn quản lý (cao, to, mập) nói chuyện rất cọc cằn với mình, bảo là chị đến trễ em gạch tên chị rồi chị ngồi chờ xếp bàn lại đi, mình cũng ngồi chờ bình thường, bạn đó đưa mình mã qr để chọn món trước thì mình có hỏi hôm nay có buffet không thì bạn trả lời rất thái độ và nói có đầy đủ chị tự quét coi đi chỉ không có buffer 199 ( ủa mình đâu có đi ăn hội quán từ thiện đâu mà lại bị đối xử như vậy), từ đầu đến cuối đều rất thái độ với mình, có bàn cũng chỉ kiểu xếp xó cho có, mình thanh toán bằng grab cũng nói là vậy không áp dụng voucher khuyến mãi gì hết nha, trong khi mình còn chưa hề nói mình áp mã gì hết, đề nghị nhà hàng xem lại thái độ phục vụ và cách làm việc của bạn nhân viên đó, mình ức chế cả buổi tối thì còn vui vẻ ăn uống gì nữa"
5875,GoGi House Bình Phú,Trường Hận,bt,"đồ ăn ngon nhưng nước chấm không ngon lắm, các bạn nhân viên rất ít chủ động thay vỉ nướng cho khách trừ khi khách yêu cầu, khác xa chi nhánh aeon bt, đồ ăn lên chậm, khi ra về thanh toán thì bị máy bị đơ, phải đợi 1 lúc mới được thanh toán"
5878,GoGi House Bình Phú,Truc Ho,"miên, gogi, dánh","vào 22/11/2025 mình thất vọng với gogi rất nhiều vấn đề ở món ăn lẫn nhân viên, nhân viên kêu tới lần thứ 3 mới đem món việc đó mình có thể thông cảm được vì do quán khá đông, nhưng mà món ăn thì tệ hơn bình thường thịt ướp sốt không có miên à sốt nào miếng thịt trắng nhách bánh xèo thì như trứng chiên mỏng dánh không dày và vàng giòn như mọi khi, bất xúc nhất là bạn quản lí nam bạn cọc cằn với khách hàng quản lí chưa tốt nhân viên, không tư vấn lại quay qua trách khách hàng không nói trước, hệ thống của gogi bị lỗi làm bạn quản lí nam bực bội nhưng bạn lại bực lên khách và không có câu trấn an xin lỗi nào đến khách hàng, rất thất vọng"
5881,GoGi House Bình Phú,Lâm Bách Mai (ATNPT),"hỗ, tìn","quán ok đồ ăn ổn và nhân viên hỗ trợ rất nhiệt tìn và nhanh nhẹn,nhưng cần cải thiện đồ ăn cho ngon hơn nữa"
5882,GoGi House Bình Phú,Moon Nguyễn,"đc, gogi","nay ghé thử gogi bình phú gần nhà, ko ngờ dịch vụ trên cả mong đợi như vậy, nhân viên siêu nhiệt tình luôn, từ quản lí cho tới nhân viên, ăn uống cảm thấy rất vui vẻ luôn á, có nhóm tổ chức sn, nhân viên hổ trợ hát chúc mừng luôn, so với trong mall thì mall thua xa về dịch vụ rồi, quá nhiệt tình 200 điểm sẽ quay lại , rất vui khi đc ăn uống tại nhà hàng"
5886,GoGi House Bình Phú,Văn Thương Hoàng,gogi,"cám ơn nhà hàng gogi house bình phú đã cho chúng tôi một trải nghiệm tuyệt vời - mặc dù thứ 7 đông khách nhưng gọi món phục vụ vẫn nhanh chóng, đồ ăn tươi, ngon, giá rẻ, tác phong phục vụ nhanh nhẹn, vui vẻ và lễ phép - còn sao nữa là cho vượt khung luôn - 5 sao mãi đỉnh"
5888,GoGi House Bình Phú,Võ Minh Hoàng “hoangvm8”,gogi,"tôi đến lúc 16h30, trong quán đã phục vụ 1 số khách, nhưng quản lý từ chối nhận khách với lý do 17h mới phục vụ, tôi đã đến quán này rất nhiều lần trong suốt 4 năm qua với khung giờ này, nên việc quán đang phục vụ khách mà lại từ chối nhận khách lúc 16h30 là quá thất vọng, tôi hy vọng nhận được lời giải thích này, hiện tại là 16h40, và tôi vẫn đang được phục vụ tại gogi aeon bình tân, nên nói gogi phục vụ lúc 17h là rất phi lý"
5891,GoGi House Bình Phú,Harry,"hỗ, hải","lần đầu mình ghé đến chi nhánh này, hôm đó là ngày trong tuần trời có mưa nhẹ nhưng quán vẫn khá đông, bảo vệ nhiệt tình hỗ trợ dắt xe, mình được nhân viên hỗ trợ lại nhận bàn, - đồ ăn được ra khá nhanh không phải chờ lâu, hỗ trợ nhiệt tình trong suốt quá trình ăn, - mình đi hai người sử dụng gói buffet 369k (không bao gồm thuế và nước), gói của mình không có dẻ sườn, canh và các loại hải sản, - mình rất ưng ý và sẽ quay lại nếu có dịp"
5893,GoGi House Bình Phú,Pha Chiêu,đc,"phục vụ quá tệ, ko thể chấp nhận được, mình đến lúc giờ cao điểm đợi gần 30p, nhưng khi đã vào bàn rồi thì ko nv nào đến order, nv dẫn khách vào bàn rồi bơ đi hết luôn, đợi 10p vẫn ko ai đến, mà thay vào đó là tất cả tụ lại dọn bàn ủa mình đến order khách rồi đi dọn bàn ko đc hả??? quá thất vọng, mình đứng dậy đi về luôn, quá chán"
5894,GoGi House Bình Phú,Nguyễn Quang Thông,đc,"mình ăn buffet, gọi món mà món có món không, thiếu rất nhiều lần chứ không phải một lần, bếp lên thiếu xong đòi khách gọi món lại rồi vẫn không mang lên, mình gọi nước thì mang thiếu ly, nhắc 4-5 lần mới mang đủ, đi ăn mà bực hết cả mình, tráng miệng thì mình gọi nhiều lần, mỗi lần một ít nhưng quán lên 2 lần rồi thôi, gọi nhân viên trên web thì cả buổi không bao giờ gọi đc, toàn phải đợi nhân viên đi ngang rồi khều lại, đến tính tiền quán cũng lâu nữa"
5895,GoGi House Bình Phú,Hieu Nguyen,ngonn,"một buổi buffet thơm ngon đã đời, thịt ngonn, sốt ngon, ăn phủ phê thật sự"
5897,GoGi House Bình Phú,Vũ Tuấn,lỳ,"nhân viên thật sự không tôn trọng khách, kêu mấy lần vẫn không đem đồ ăn ra, ăn lúc 20:25 phút ngày 24/11/2025, mặt nhân viên rất lỳ đòn"
5898,GoGi House Bình Phú,Hiệu Nguyễn Chánh,pv,"nv pv tốt, đồ ăn ngon, quản lí ok, vỉ nướng được thay liên tục và đồ được fill liên tục"
5900,GoGi House Bình Phú,nguyenhuukhanh,"dth, mng, ạa","đồ ăn ngon, lên món nhanh, nhân viên phục vụ siu dth ạa, nên đặt bàn trước nha mng"
5902,GoGi House Bình Phú,Khắp Nẻo Vi Vu,"kh, tikhách","mình đi vào ngày cuối tuần, quán cũng không quá đông nhưng nhân viên phục vụ khá chậm, thêm điểm trừ là thu tikhách đỗ xe ô tô dưới lòng đường, đila2m mình cảm thấy rất khó chịu mặc dù đây là đường kh cấm đậu nhưng vẫn thu tiền khách"
5903,GoGi House Bình Phú,Phụng Phan,panacota,"điểm cộng của quán là nhân viên rất chu đáo và nhiệt tình, mình đi khung giờ tối quán cũng khá vắng nhân viên tự động thay vĩ, nướng thịt, cắt thịt, chia thịt giúp tụi mình luôn, mình mua suất buffet giá 419k/người,thịt bò mềm ngọt và ngon, kem ăn tương đối, kim chi hơi chua, mình kêu kèm lẩu kim chi ăn cũng ổn, nhưng ko đặc biệt lắm, panacota mình kêu vị dâu hơi ngọt dễ ngấy, nước chấm ăn tạm ko đa dạng, nói chung là hài lòng"
5904,GoGi House Bình Phú,Khôi Đặng nguyên,nhiên,đậu xe hơi ở nhà hàng tự nhiên bị đòi 30k tiền gửi xe trong khi ăn 1 ng hết 500k
5907,GoGi House Bình Phú,MAI TRÂN NGUYỄN DIỆP,nhanhh,nhà hàng nướng ngon cơ sở vật chất sạch sẽ nhân viên dễ thương nhiệt tình chu đáo lên món nhanhh
5908,GoGi House Bình Phú,Thuận Huỳnh,"đc, hqua","đi hqua tối ngày 1/12 trời ơi lên lâu ớn, mình ăn buffet vào quán trễ tầm 8h30 nên mình gọi món nhiều lên 1 lần mà ai dè lên đc 5 dĩa xong nín 20p mình ăn xong vẫn chưa lên món tiếp theo phải hối giục nv liên tục mới lên lèo teo, các bàn khác thay vỉ nướng liên tục bàn mình phải kêu mới thay"
5909,GoGi House Lotte Mart Quận 7,Tuyết Trâm Cam,"thưn, hihi","đồ ăn rất ngon , nhân viên nhiệt tình dễ thưn , sẽ ủng hộ mỗi tuần hihi"
5911,GoGi House Lotte Mart Quận 7,Truong HuyHoang,"hỗ, hải","quán có không gian sạch sẽ, thoáng mát và hiện đại, bàn ghế gọn gàng, hệ thống hút khói hoạt động tốt nên ăn đồ nướng không bị ám mùi, nhân viên phục vụ nhanh nhẹn, thân thiện và rất nhiệt tình hỗ trợ khách, đồ ăn cực kỳ ngon và chất lượng, thịt nướng tươi, ướp vừa vị, nướng lên thơm và mềm, các món ăn kèm như kim chi, rau sống và nước chấm đều đậm đà, hợp vị, đặc biệt món canh đậu cay nóng hổi, rất tròn vị và hấp dẫn, pancake hải sản cũng giòn bên ngoài, mềm bên trong, ăn rất cuốn"
5913,GoGi House Lotte Mart Quận 7,Hồng hạnh mai,"lun, ăng, ạa","đồ ăng ngon lắm lun, anh chị nhân viên siu nhiệt tình luôn ạa,chắc chắn sẽ quay lại"
5915,GoGi House Lotte Mart Quận 7,Thanh Mai Đặng,"hỗ, gogi","nhà hàng gogi house để lại cho tôi ấn tượng rất tốt ngay từ lần đầu trải nghiệm, không gian quán được thiết kế theo phong cách hàn quốc hiện đại, ấm cúng nhưng vẫn rất thoải mái, phù hợp để đi ăn cùng gia đình hoặc bạn bè, điều khiến tôi thích nhất chính là chất lượng món ăn: thịt nướng ở gogi rất tươi, mềm, được tẩm ướp đậm đà, nướng lên thơm lừng và ăn cực kỳ ngon, các món ăn kèm như kimchi, salad, canh rong biển cũng được chuẩn bị kỹ lưỡng, vừa miệng và giúp bữa ăn không bị ngán, nhân viên phục vụ nhiệt tình, nhanh nhẹn, luôn hỗ trợ khách một cách chu đáo, nhìn chung, gogi house không chỉ ngon về món ăn mà còn ghi điểm bởi không khí và cách phục vụ, khiến tôi rất muốn quay lại thêm nhiều lần nữa"
5919,GoGi House Lotte Mart Quận 7,Tuyết Ngọc Nguyễn Thiều,bth,"vỉ nướng thì bẩn, rau thì bị sâu ăn, quản lý bảo ko sao ăn bth, còn bảo: “nếu e muốn thì chị đổi cho”, nướng thịt thì bắn cả vào người vợ mình, cũng ko xin lỗi hay gì hết, chị quý ơi là chi quý"
5920,GoGi House Lotte Mart Quận 7,Yến Nhi trịnh thị,"hỗ, rãi, gogi","buffet gogi là một địa điểm ăn uống rất đáng trải nghiệm cho những ai yêu thích ẩm thực hàn quốc, không gian quán rộng rãi, sạch sẽ, trang trí hiện đại, tạo cảm giác thoải mái khi dùng bữa, các món nướng đa dạng, thịt tươi ngon, tẩm ướp đậm đà, khi nướng lên rất thơm và mềm, ngoài ra, các món ăn kèm như tokbokki, miến trộn, kim chi, canh rong biển cũng rất hấp dẫn và hợp khẩu vị, nhân viên phục vụ nhiệt tình, nhanh nhẹn, luôn sẵn sàng hỗ trợ khách, mức giá hợp lý so với chất lượng món ăn và dịch vụ, nhìn chung, buffet gogi mang đến trải nghiệm ăn uống trọn vẹn, phù hợp cho những buổi tụ họp gia đình và bạn bè, đây là nơi rất đáng để quay lại nhiều lần"
5924,GoGi House Lotte Mart Quận 7,Trâm Nguyễn,hỗ,"mình thấy đồ ăn ở đây ngon, thiếu nhân viên nhưng mấy bạn vẫn hỗ trợ take care rất nhiệt tình"
5929,GoGi House Lotte Mart Quận 7,Nguyễn Thị Phương Trâm,rãi,"hôm nay tui có trải nghiệm rất tuyệt vời ở đây, món ăn ngon, nhân viên tư vấn nhiệt tình, phù hợp giá tiền, không gian thoải mái rộng rãi"
5930,GoGi House Lotte Mart Quận 7,Trinh Huynh,iu,"đồ ăn ngon, phục vụ lên món nhanh và nhân viên cực dễ thương, nhiệt tình yêu_thích yêu_thích đáng để trải nghiệm, mãi iu"
5932,GoGi House Lotte Mart Quận 7,Trân Huỳnh,gogi,"phải nói là đồ ăn ở gogi rất hợp khẩu vị của mình, nhận viên thì ok, ko có gì để chê, nói chung đây là một trải nghiệm tuyệt vời"
5933,GoGi House Lotte Mart Quận 7,Mon Nguyen,nhiên,"mình và đồng nghiệp có ghé đây ăn trưa, tụi mình ăn menu full gọi được các món, thịt bò ngon, tươi, tuy nhiên tôm và bạch tuộc bị bở, bánh xèo ngon, lẩu quân đội ngon, panda cotta bị cứng quá, nhìn chung thì thức ăn để phục vụ là hài lòng vì chủ yếu tụi mình đến để ăn bò"
5936,GoGi House Lotte Mart Quận 7,Nguyen Ngoc,tuỵt,"không gian sạch sẽ, sang trọng, phù hợp đi với bạn bè gia đình, nhân viên thân thiện, nhiệt tình, đồ ăn ngon, thịt nướng mềm, nước chấm ngon, món kèm đa dạng, nói chung là tuỵt vời"
5939,GoGi House Lotte Mart Quận 7,Quỳnh Lê,"hỗ, nhiên","đồ ăn ngon, phục vụ rất dễ thương, nhanh và chủ động, mình đi vào tối chủ nhật, quán đông kín chỗ nhưng lên món nhanh và các bạn hỗ trợ thay vỉ, thêm rau liên tục, món ăn thù ổn áp, thịt bò mềm, xốt chấm ngon, cơm trộn vừa miệng, tuy nhiên rau ăn kèm thì chỉ có xà lách & lá mè, ko đầy đủ như các chỗ khác, đĩa thịt chỉ có thịt, ko có kem rau củ như nấm, đậu bắp nên hơi thất vọng, mình chọn combo buffer 369k có đủ bò, heo, cơm, salad và các món tráng miệng, với mình là khá phù hợp với giá tiền"
5941,GoGi House Lotte Mart Quận 7,Thư Minh,"nhenn, gogi, thid","đồ ăn ở gogi rất ngon, thịt nướng mềm và đậm vị, các bạn nhân viên thid rất nhanh nhenn và hổ trợ khách tốt- tuyệt vời"
5942,GoGi House Lotte Mart Quận 7,Duy Anh,iu,"bữa đi với da đình, phải ns là đồ ăn rất rất ngon, nhân viên dễ thưng v chăm sóc tận tình nữa, mãi iu <3"
5943,GoGi House Lotte Mart Quận 7,My Gia,nhở,"ấn tượng đầu tiên là nhân viên quán ai cũng dễ thương, nhiệt tình và siêu tinh tế luôn ạ, luôn hỏi liên tục bàn mình lên đủ món chưa hay cần giúp thêm gì không, điểm cộng nữa là đồ ăn, nước uống lên rất nhanh, mình không cần nhắc nhở nhân viên, về chất lượng và độ ngon miệng thì khỏi phải bàn ạ"
5946,GoGi House Lotte Mart Quận 7,Nguyễn Thị Hồng Ngọc,xèn,"thịt nướng ngon, món ăn kèm đa dạng, nhân viên nhiệt tình, không gian thoải mái, đáng xèn"
5948,GoGi House Lotte Mart Quận 7,Đoàn Kiều My,hỗ,"món ăn quá tuyệt vời vừa ngon vừa đẹp mắt, nhân viên dễ thương tận tình, phục vụ nhanh, thay vỉ liên tục, hỗ trợ cắt thịt, không gian thoải mái, sạch sẽ"
5949,GoGi House Lotte Mart Quận 7,Ngân Kim,rãi,"mình có ghé ăn vào ngày 4/8 chiều, quán vắng nên có bàn ngồi liền, nhóm mình ăn 3 người ≈ 1,200k, mình ăn gói buffet 369k (mình không nhớ rõ lắm?) thì có 1 nướng + 1 lẩu, nướng có thịt bò và heo, lẩu mình chưa thử, - không gian: rộng rãi, thoáng mát, - dịch vụ: hôm mình đi mấy anh chị cũng dễ thương, nhiệt tình, lên món nhanh lắm, thay vỉ liên tục luôn, mỗi bàn sẽ có mã qr để đặt thêm món, có thể đặt món có trong vé hoặc món tính thêm tiền, - đồ ăn: thịt ướp ngon, mềm, thơm, đồ tráng miệng là kem viên bự và bánh flan ánh hồng, rau tươi, sốt rau ăn đỡ ngán lắm, sốt chấm thịt lúc nào cũng ngon, mà hồi đó có 3 sốt lận giờ còn có 2 à, cơm trộn ngon, không quá cháy và khô, - nước: có bình nước lọc, hết thì nhờ mấy bạn nhân viên refill nè"
5950,GoGi House Lotte Mart Quận 7,Sẻ,"gogi, hóa, xóa","nhân viên: ok rất dễ thương + dịch vụ + giá: lúc mình ăn là gói cũng tầm 300k mấy đó, có gọi thêm nước tầm 50k + ko dùng khăn giấy, tính tổng ra bao gồm vat luôn không tới ~490k, mà tới lúc tính tiền thì bill độ lên ~490k mình không nhớ giá cụ thể, phần panchan lúc trước là free và lúc tính lúc nào cũng trong buffet, hiện tại panchan thay vì free thì được tính thành gói riêng, và không được tư vấn trước là panchan tính riêng, sau đó thì mình thấy hóa đơn có tính 1xu cho panchan, nếu thế thì giá ~460k thôi, tiền tips nhân viên nướng giúp mình tips riêng, à mình không dùng khăn ước mà bill vẫn tính vào, xong còn bảo mình ko dùng thì ko tính, phải làm mặt cọc thì nv mới chịu xóa khoảng phí đó ra :"") chẳng biết 1 xu = bao nhiêu, nhưng mình không thích khoản panchan tính riêng mà không báo trước, tại sao panchan tính riêng không báo trước? ai train nhân viên kiểu đó thế? vì cũng lỡ ăn nên đành nín nhịn trả giá gần 500k, :"") bực cả mình, gogi giờ chỉ để tiếp đối tác thôi, còn gọi để mà ăn họp gia đình thì nhìn bill bực cả người"
5955,GoGi House Lotte Mart Quận 7,Alice,rãi,"không gian rộng rãi, nhân viên nhiệt tình, thân thiện, thời gian ra món khá nhanh"
5956,GoGi House Nguyễn Huệ,Nguyen Pham,gogi,"chi nhánh gogi tuyệt vời nhất tôi từng đến, nhân viên nhiệt tình ,đồ ăn ngon, dù đông khách nhưng không gian rất thoải mái, sẽ ghé lại"
5957,GoGi House Nguyễn Huệ,Minh Le,"đc, nguyễn, iphone","worst experience ever, never go to this place at nguyễn huệ street, có vấn đề về hệ thống khò, đợi 30p mới lên than -> ok không vấn đề -> than lên thịt bò lên vỉ mà 5p chưa chín???? chưa kể 1 cái cửa hàng kín nhưng hệ thống lọc khói yếu, iphone 15 đã chùi rất kỹ kính mà vẫn thấy đc sương khói mờ nhân ảnh thì không thể hình dung đc tại quán khói bay như thế nào đâu, vừa độc hại vừa ảnh hưởng đến trải nghiệm ăn uống, 1 dịch vụ gần 1 triệu mà nhận lại 1 trải nghiệm còn chẳng đáng với quán ăn lề đường"
5958,GoGi House Nguyễn Huệ,Long Hoàng,"hỗ, gogi, nguyễn","hôm nay thì mình có đi ăn với bạn mình thì thấy được cách phục vụ của các bạn nhân viên rất chuyên nghiệp và chu đáo, tuy là quán khá đông nhưng các bạn vẫn luôn hỗ trợ nhiệt tình và phục vụ rất tận tình về phần phục vụ món thì nhìn chung so với các nhà hàng khác thì ở đây lên món không quá lâu so với lượng khách khá đông theo đánh giá tổng quan của cá nhân thì mình thấy gogi nguyễn huệ là một nơi nên đến để dùng bữa"
5959,GoGi House Nguyễn Huệ,Thảo Trần Hoàng Phương,lun,"trải nghiệm dịch vụ kém, vừa ăn vừa khóc vì khói và lồng ngực đầy khí thải của than, cảm giắc bị ngợp rất khó chịu lun í"
5960,GoGi House Nguyễn Huệ,Thảo Sử,"dth, bth","mình đi ăn ngày 1-2-2026 lúc 14h, đồ ăn thì bth như bao chi nhánh khác nhưng cần xem lại cách training nhân viên, bỏ tiền ra đi ăn mà như đi ăn xin vậy, người thái độ tệ nhất lại là quản lý, nói chuyện rất thái độ, nhân viên lúc đổi vĩ nướng làm rớt miếng thịt cũng để y vậy đến cuối buổi luôn, được có 1 bạn nam là phục vụ dth"
5961,GoGi House Nguyễn Huệ,nhi nguyen,đc,"món ăn ngon, không gian ổn, chỉ có thái độ nhân viên phục vụ không chuyên nghiệp, trung tâm q1 nhưng thái độ phục vụ này thì k xứng đang đc 3 sao"
5962,GoGi House Nguyễn Huệ,Duyên Lý,"nhiêt, nvien, sp","đồ ăn cũng như các chi nhánh khác ạ, không gian mát mẻ, nvien sp nhiêt tình"
5966,GoGi House Nguyễn Huệ,Trinh Khưu Thị Tú,gogi,"không gian nhỏ, trần nhà thấp, hệ thống hút khói không tốt —> khói mịt mù siêu cay mắt, ngộp lắm - nhân viên thì mình thấy cũng tạm chứ không tới nổi , chỉ là không nhiệt tình thân thiện bằng chi nhánh khác - lên món hơi chậm, tranh thủ gọi món - gogi thì thường xuyên lên thiếu món nên có gì hỏi nhân viên lại nếu lâu quá"
5967,GoGi House Nguyễn Huệ,Quỳnh Nguyễn,dth,"đồ ăn ngon, mình rất thích chả cá được tặng kèm ở đây và bánh xèo, thịt lên nhanh và nhân viên siêu dth, vui vẻ, không gian thoải mái nhưng mình ngồi bàn 206 thấy hơi tối tí"
5973,GoGi House Nguyễn Huệ,Kate Giang Tien,"nhìu, mk","mk ăn buffet 199k kèm với 1 bình trà 29k( rất recommend cái này nếu b ko thích uống nước ngọt nhưng lại muốn uống nhìu nước), nếu như quán đang ế thì sẽ có nv phục vụ nướng cho b, còn đông thì bạn sẽ tự làm, cá nhân mk thấy thịt ngon nhưng do sốt chấm chỉ có 2 loại nên nhanh ngán, ngoài ra mk thấy gà phô mai ăn rất ngon, với giá này thì mk thấy rất ok ngoại trừ việc không có bãi giữ xe, gửi đối diện cửa sau của tm siu mắc và k dc hoàn tiền"
